country_id_alp3,year,value
afg,1960,537777811
afg,1961,548888896
afg,1962,546666678
afg,1963,751111191
afg,1964,800000044
afg,1965,1006666638
afg,1966,1399999967
afg,1967,1673333418
afg,1968,1373333367
afg,1969,1408888922
afg,1970,1748886596
afg,1971,1831108971
afg,1972,1595555476
afg,1973,1733333264
afg,1974,2155555498
afg,1975,2366666616
afg,1976,2555555567
afg,1977,2953333418
afg,1978,3300000109
afg,1979,3697940410
afg,1980,3641723322
afg,1981,3478787909
afg,2002,4055179566
afg,2003,4515558808
afg,2004,5226778809
afg,2005,6209137625
afg,2006,6971285595
afg,2007,9747879532
afg,2008,10109305183
afg,2009,12416161049
afg,2010,15856678596
afg,2011,17805113119
afg,2012,19907317066
afg,2013,20146404996
afg,2014,20497126770
afg,2015,19134211764
afg,2016,18116562465
afg,2017,18753469630
afg,2018,18053228579
afg,2019,18799450743
afg,2020,20116137326
ago,1980,5934073604
ago,1981,5553824464
ago,1982,5553824464
ago,1983,5787823809
ago,1984,6135166254
ago,1985,7558613008
ago,1986,7076793823
ago,1987,8089279285
ago,1988,8775116269
ago,1989,10207922517
ago,1990,11236275843
ago,1994,3390500000
ago,1995,5561222222
ago,1996,7526963964
ago,1997,7649716157
ago,1998,6506619145
ago,1999,6152936539
ago,2000,9129634978
ago,2001,8936063723
ago,2002,15285594828
ago,2003,17812705294
ago,2004,23552052408
ago,2005,36970918699
ago,2006,52381006892
ago,2007,65266452081
ago,2008,88538611205
ago,2009,70307163678
ago,2010,83799496611
ago,2011,111789686464
ago,2012,128052853643
ago,2013,136709862831
ago,2014,145712200313
ago,2015,116193649124
ago,2016,101123851090
ago,2017,122123822334
ago,2018,101353230785
ago,2019,89417190341
ago,2020,58375976293
alb,1984,1857338012
alb,1985,1897050133
alb,1986,2097326250
alb,1987,2080796250
alb,1988,2051236250
alb,1989,2253090000
alb,1990,2028553750
alb,1991,1099559028
alb,1992,652174991
alb,1993,1185315468
alb,1994,1880951520
alb,1995,2392764853
alb,1996,3199641336
alb,1997,2258513974
alb,1998,2545964541
alb,1999,3212121651
alb,2000,3480355258
alb,2001,3922100794
alb,2002,4348068242
alb,2003,5611496257
alb,2004,7184685782
alb,2005,8052073539
alb,2006,8896072919
alb,2007,10677324144
alb,2008,12881353508
alb,2009,12044208086
alb,2010,11926922829
alb,2011,12890764531
alb,2012,12319830437
alb,2013,12776220507
alb,2014,13228147516
alb,2015,11386850130
alb,2016,11861199831
alb,2017,13019689337
alb,2018,15156432310
alb,2019,15400242875
alb,2020,14887629268
and,1970,78619206
and,1971,89409820
and,1972,113408232
and,1973,150820103
and,1974,186558696
and,1975,220127246
and,1976,227281025
and,1977,254020153
and,1978,308008898
and,1979,411578334
and,1980,446416106
and,1981,388958731
and,1982,375895956
and,1983,327861833
and,1984,330070689
and,1985,346737965
and,1986,482000594
and,1987,611316399
and,1988,721425939
and,1989,795449332
and,1990,1029048482
and,1991,1106928583
and,1992,1210013652
and,1993,1007025755
and,1994,1017549124
and,1995,1178738991
and,1996,1223945357
and,1997,1180597273
and,1998,1211932398
and,1999,1239876305
and,2000,1429049198
and,2001,1546926174
